Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2022","2022","t","800485.5","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2023","2023","t","1944034.2","A","Official value"
"TM","Detailed trade matrix","036","Australia","764","Thailand","5910","Export quantity","0111","Wheat","2024","2024","t","670906.08","A","Official value"
"TM","Detailed trade matrix","031","Azerbaijan","004","Afghanistan","5910","Export quantity","0113","Rice","2014","2014","t","16","A","Official value"
"TM","Detailed trade matrix","050","Bangladesh","764","Thailand","5910","Export quantity","0113","Rice","2005","2005","t","5","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2000","2000","t","20124","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","2925","A","Official value"
"TM","Detailed trade matrix","056","Belgium","004","Afghanistan","5910","Export quantity","0111","Wheat","2010","2010","t","158","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2011","2011","t","0","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2012","2012","t","0","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2013","2013","t","0","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2014","2014","t","2.1","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2016","2016","t","328.7","A","Official value"
"TM","Detailed trade matrix","056","Belgium","764","Thailand","5910","Export quantity","0111","Wheat","2017","2017","t","517.51","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1990","1990","t","1840","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1991","1991","t","200","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1993","1993","t","993","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1995","1995","t","22022","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1996","1996","t","5000","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1997","1997","t","3356","A","Official value"
"TM","Detailed trade matrix","058","Belgium-Luxembourg","004","Afghanistan","5910","Export quantity","0111","Wheat","1998","1998","t","2500","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2019","2019","t","0.61","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2020","2020","t","0.09","A","Official value"
"TM","Detailed trade matrix","076","Brazil","764","Thailand","5910","Export quantity","0113","Rice","2021","2021","t","0.84","A","Official value"
