Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2017.97","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2901","Grand Total","2022","2022","kcal/cap/d","1838.52","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2901","Grand Total","2023","2023","kcal/cap/d","1810.53","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","821.03","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2016","2016","kcal/cap/d","773.65","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2017","2017","kcal/cap/d","787.71","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2018","2018","kcal/cap/d","779.13","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2019","2019","kcal/cap/d","754","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2020","2020","kcal/cap/d","826.93","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2021","2021","kcal/cap/d","837.11","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2022","2022","kcal/cap/d","761.92","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2023","2023","kcal/cap/d","585.92","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2015","2015","kcal/cap/d","132.24","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2016","2016","kcal/cap/d","103.47","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2017","2017","kcal/cap/d","129.56","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2018","2018","kcal/cap/d","168.45","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2019","2019","kcal/cap/d","174.41","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2020","2020","kcal/cap/d","168.16","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2021","2021","kcal/cap/d","165.3","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2022","2022","kcal/cap/d","163.67","E","Estimated value",""
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2807","Rice and products","2023","2023","kcal/cap/d","130.44","E","Estimated value",""
