Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2013","2013","t","127637","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2014","2014","t","30050","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2017","2017","t","18975","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2018","2018","t","26406","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2020","2020","t","55584","A","Official value"
"TM","Detailed trade matrix","356","India","004","Afghanistan","5910","Export quantity","0111","Wheat","2022","2022","t","37242.01","A","Official value"
"TM","Detailed trade matrix","364","Iran (Islamic Republic of)","004","Afghanistan","5910","Export quantity","0111","Wheat","2014","2014","t","49.8","A","Official value"
"TM","Detailed trade matrix","380","Italy","004","Afghanistan","5910","Export quantity","0111","Wheat","1992","1992","t","4600","A","Official value"
"TM","Detailed trade matrix","380","Italy","004","Afghanistan","5910","Export quantity","0111","Wheat","2010","2010","t","158","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","1998","1998","t","19694","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","1999","1999","t","38991","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2000","2000","t","488831","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2001","2001","t","102083","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2002","2002","t","126699","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2003","2003","t","16710","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2004","2004","t","21287","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2005","2005","t","50169","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2006","2006","t","32955","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2007","2007","t","34765","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2008","2008","t","310005","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2009","2009","t","316106","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2011","2011","t","82789","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2012","2012","t","54877","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2013","2013","t","33254","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2014","2014","t","36518.88","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2015","2015","t","140386.39","A","Official value"
"TM","Detailed trade matrix","398","Kazakhstan","004","Afghanistan","5910","Export quantity","0111","Wheat","2016","2016","t","253781.69","A","Official value"
